Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers
No Scrubs,TLC,"February 2, 1999 (1999-02-02)","R&B, hip-pop","3:39 (album version)
3:59 (Left Eye rap remix)",", LaFace, 
, Arista,","Kevin ""She'kspere"" Briggs, Kandi Burruss, Tameka ""Tiny"" Cottle, Lisa Lopes",She'kspere
No Sugar Tonight/New Mother Nature,The Guess Who,March 1970 (1970-03),"Blues rock, psychedelic rock","4:52 (album version with ""New Mother Nature"")
2:04 (single w/o ""New Mother Nature"")",RCA Victor,"Burton Cummings, Randy Bachman",Jack Richardson
Ode to Billie Joe,Bobbie Gentry,July 1967,"Country, [, 1, ]",4:15,Capitol,Bobbie Gentry,"Kelly Gordon, Bobby Paris"
Oh Girl,the Chi-Lites,"March 2, 1972","R&B, soul","3:43 (album version)
3:16 (single edit)",Brunswick,Eugene Record,Eugene Record
Oh Sheila,Ready for the World,1985 (1985),"Synth-funk, [, 1, ], electropop, [, 2, ]","4:00 (album version)
3:36 (single version)",MCA,"Melvin Riley Jr., Gordon Strozier, Gerald Valentine",Ready for the World
"Oh, Pretty Woman","Roy Orbison, the Candy Men","August 15, 1964","Rock and roll, country",2:55,Monument,"Roy Orbison, Bill Dees",Fred Foster
Old Town Road,Lil Nas X,"December 3, 2018 (2018-12-03) (original)April 5, 2019 (Billy Ray Cyrus remix)","Country rap, country trap, [, 1, ], [, 2, ], Southern hip hop",1:53 (original version)2:37 (Billy Ray Cyrus remix),Columbia,"Montero Hill, Trent Reznor, Atticus Ross, Kiowa Roukema","YoungKio, Trent Reznor, Atticus Ross"
OMG (Usher song),"Usher, will.i.am","March 22, 2010","Dance-pop, electropop, R&B","4:45 (album version w/o will.i.am)
4:28 (radio edit)",LaFace,William Adams,will.i.am
One Bad Apple,the Osmonds,"November 14, 1970","Bubblegum, [, 1, ]",2:45,MGM,George Jackson,
One Dance,"Drake, Wizkid, Kyla","April 5, 2016","Dancehall, afrobeats, pop, UK funky",2:53,"Young Money, Cash Money, Republic","Aubrey Graham, Paul Jefferies, Ayodeji Balogun, Noah Shebib, Errol Reid, Luke Reid, Kyla Smith, Corey Johnson, Logan Sama, [, 1, ]","Nineteen85, 40, WizKid, Sarz, DJ Maphorisa"
One More Night (Maroon 5 song),Maroon 5,"June 19, 2012 (2012-06-19)","Pop rock, reggae rock, electropop, [, 1, ]",3:39,A&M Octone,"Adam Levine, Shellback, Max Martin, Savan Kotecha","Shellback, Max Martin"
One More Night (Phil Collins song),Phil Collins,"24 January 1985 (US)[1]
1 April 1985 (UK)[2]","Soft rock, [, 3, ], [, 4, ], [, 5, ]","4:51
4:22 (7"" version)",", Atlantic, 
, Virgin,",Phil Collins,"Phil Collins, Hugh Padgham"
One More Try (George Michael song),George Michael,11 April 1988 (1988-04-11)[1],"Blue-eyed soul, [, 2, ]",5:52,Columbia,George Michael,George Michael
One More Try (Timmy T song),Timmy T,"October 24, 1990 (1990-10-24)","Pop, [, 1, ], freestyle, [, 2, ]",3:29,"Quality, , Pump",Timothy Torres,Timothy Torres
One of These Nights (Eagles song),Eagles,"May 19, 1975","Rock, [, 1, ], country rock, [, 2, ], R&B, [, 2, ], disco, [, 3, ], [, 4, ]",4:55 (album)3:28 (single),Asylum,"Don Henley, Glenn Frey",Bill Szymczyk
One Sweet Day,"Mariah Carey, Boyz II Men","November 14, 1995 (1995-11-14)","Pop, R&B",4:42,Columbia,,"Walter Afanasieff, Mariah Carey"
One Week (song),Barenaked Ladies,"September 15, 1998 (1998-09-15)[1]","Alternative rock, [, 2, ], [, 3, ], [, 4, ], pop, [, 5, ], rap rock, [, 6, ], pop rock, [, 7, ]",2:48,Reprise,Ed Robertson,"Barenaked Ladies, David Leonard, Susan Rogers"
Only Girl (In the World),Rihanna,"September 10, 2010 (2010-09-10)","Dance-pop, Eurodance",3:55,"Def Jam, SRP","Crystal Johnson, Mikkel S. Eriksen, Tor Erik Hermansen, Sandy Wilhelm","Stargate, Sandy Vee, Kuk Harrell"
On Bended Knee,Boyz II Men,"November 11, 1994",R&B,5:29,Motown,Jimmy Jam and Terry Lewis,Jimmy Jam and Terry Lewis
On My Own (Patti LaBelle and Michael McDonald song),"Patti LaBelle, Michael McDonald","February 23, 1986","Pop, [, 1, ]",4:50,MCA,"Burt Bacharach, Carole Bayer Sager","Burt Bacharach, Carole Bayer Sager"
Open Your Heart (Madonna song),Madonna,"November 12, 1986",Dance-pop,4:13,", Sire, 
, Warner Bros.,","Madonna, Gardner Cole, Peter Rafelson","Madonna, Patrick Leonard"
Opposites Attract,Paula Abdul,"November 17, 1989 (1989-11-17)[1]","Minneapolis funk, [, 2, ], new jack swing, R&B, [, 3, ]","4:25 (album version)
3:45 (single version)",Virgin,Oliver Leiber,Oliver Leiber
Our Day Will Come,Ruby & the Romantics,December 1962,"R&B, [, 1, ], bossa nova, [, 1, ]",2:32,Kapp,"Bob Hilliard, Mort Garson",Allen Stanton
Out of Touch,Daryl Hall & John Oates,"October 4, 1984","Dance-rock, synth-pop, new wave","4:21 (album version)
3:55 (single version)
4:33 (video version)",RCA Victor,"Daryl Hall, John Oates","Daryl Hall & John Oates, Bob Clearmountain"
Over and Over (Bobby Day song),Bobby Day,1958,"Doo-wop, [, 1, ]",2:20,Class,Robert James Byrd,
Owner of a Lonely Heart,Yes,24 October 1983 (1983-10-24)[1],"Electronic rock, [, 2, ], [, 3, ], dance-rock, [, 4, ], progressive pop, [, 5, ], new wave, [, 6, ]","4:27 (album version)
3:50 (single version)
7:05 (extended remix)",Atco,"Trevor Rabin, Jon Anderson, Chris Squire, Trevor Horn",Trevor Horn
Paint It Black,the Rolling Stones,"7 May 1966 (1966-05-07) (US)
13 May 1966 (1966-05-13) (UK)","Raga rock, psychedelic rock",3:46,", Decca,  (UK), 
, London,  (US),",Jagger–Richards,Andrew Loog Oldham
Paint the Town Red (Doja Cat song),Doja Cat,"August 4, 2023 (2023-08-04)","Hip-hop, [, 1, ]","3:51 (album version)
3:27 (radio edit)",", Kemosabe, 
, RCA,",,"Earl on the Beat, Rubin, Jean-Baptiste, DJ Replay"
Panda (song),Desiigner,"December 15, 2015 (2015-12-15)","Hip hop, trap",4:10 (album version)3:46 (radio edit),"GOOD, Def Jam","Sidney Selby III, Adnan Khan",Menace
Papa Don't Preach,Madonna,"June 11, 1986",Dance-pop,4:29,", Sire, 
, Warner Bros.,",,"Madonna, Stephen Bray"
Papa Was a Rollin' Stone,the Undisputed Truth,"May 9, 1972",Soul,3:25,Gordy,"Norman Whitfield, Barrett Strong",Norman Whitfield
Paperback Writer,the Beatles,30 May 1966 (1966-05-30),"Hard rock, [, 1, ], power pop, [, 2, ], psychedelic rock, [, 3, ]","2:16 (stereo)
2:23 (mono)",", Capitol,  (US), 
, Parlophone,  (UK),",Lennon–McCartney,George Martin
Party Rock Anthem,"LMFAO, Lauren Bennett, GoonRock","January 25, 2011 (2011-01-25)","Hip house, [, 1, ]","4:23 (main/album version)
3:52 (radio edit 1)
3:27 (radio edit 2)",", will.i.am, 
, Cherrytree, 
, Interscope, 
, Panther,","David Listenbee, Stefan Gordy, Skyler Gordy, Peter Schroeder","GoonRock, Redfoo"
Part of Me (Katy Perry song),Katy Perry,"February 13, 2012","Dance-pop, power pop, electropop",3:35,Capitol,"Katy Perry, Lukasz Gottwald, Max Martin, Bonnie McKee","Dr. Luke, Max Martin, Cirkut"
Part-Time Lover,Stevie Wonder,"August 24, 1985","Synth-pop, R&B, soul","4:12 (album version)3:43 (7"" version)8:20 (12"" version)",Tamla,Stevie Wonder,Stevie Wonder
Peaches (Justin Bieber song),"Justin Bieber, Daniel Caesar, Giveon","March 19, 2021","Pop, R&B, pop soul",3:18,Def Jam,"Justin Bieber, Ashton Simmonds, Giveon Evans, Bernard Harvey, Luis Martinez, Jr., Andrew Wotman, Louis Bell, Matthew Sean Leon, Felisha King-Harvey, Aaron Simmonds, Keavan Yazdani","Harv, Shndo"
Penny Lane,the Beatles,13 February 1967 (1967-02-13),"Psychedelic pop, [, 1, ], [, 2, ], progressive pop, [, 3, ], [, 4, ], baroque pop, [, 5, ]",3:03,", Parlophone,  (UK), 
, Capitol,  (US),",Lennon–McCartney,George Martin
People Got to Be Free,the Rascals,"July 1, 1968",Blue-eyed soul,3:01,Atlantic,"Felix Cavaliere, Eddie Brigati","The Rascals, with, Arif Mardin"
Peppermint Twist,Joey Dee and the Starliters,1961 (1961),Rock and roll,4:05 (Parts 1 and 2 combined),Roulette,"Joey Dee, Henry Glover",
Perfect (Ed Sheeran song),Ed Sheeran,26 September 2017 (2017-09-26),Pop,4:23,", Asylum, 
, Atlantic,",Ed Sheeran,"Ed Sheeran, Will Hicks"
Permission to Dance,BTS,"July 9, 2021 (2021-07-09)",Dance-pop,3:07,", Big Hit, 
, Sony,","Ed Sheeran, Johnny McDaid, Steve Mac, Jenna Andrews","Steve Mac, Jenna Andrews, Stephen Kirk"
Philadelphia Freedom (song),Elton John Band,28 February 1975 (1975-02-28),"Philly soul, pop, disco, [, 1, ]",5:385:20 (edited version),"MCA,  (US), DJM,  (UK)","Elton John, Bernie Taupin",Gus Dudgeon
Photograph (Ringo Starr song),Ringo Starr,24 September 1973,"Rock, pop",4:00,Apple,"Richard Starkey, George Harrison",Richard Perry
Physical (Olivia Newton-John song),Olivia Newton-John,28 September 1981,"Dance-pop, [, 1, ], post-disco, [, 2, ]",3:44,"EMI,  (UK), MCA,  (US)","Steve Kipner, Terry Shaddick",John Farrar
Pick Up the Pieces (Average White Band song),Average White Band,July 1974,"Funk, jazz-funk, R&B, [, 1, ]","3:59 (album version)
3:00 (single version)",Atlantic,"Roger Ball, Malcolm Duncan, Alan Gorrie, Onnie McIntyre, Hamish Stuart, Robbie McIntosh",Arif Mardin
Pillowtalk (song),Zayn,29 January 2016,"Alternative R&B, electronic",3:23,RCA,"Zayn Malik, Levi Lennox, Anthony Hannides, Michael Hannides, Joe Garrett",Levi Lennox
Play That Funky Music,Wild Cherry,April 1976,"Funk rock, [, 1, ], [, 2, ], R&B, [, 3, ]","5:00 (album version)
3:12 (single/video version)",Epic,Rob Parissi,Rob Parissi
Please Don't Go (KC and the Sunshine Band song),KC and the Sunshine Band,"July 12, 1979","Soul, R&B, [, 1, ]",3:43,TK,"Harry Wayne Casey, /, Richard Finch",Harry Wayne Casey / Richard Finch
Please Mr. Postman,the Marvelettes,"August 21, 1961","Pop, [, 1, ], soul, [, 2, ], doo-wop, [, 2, ]",2:31,Tamla,"Georgia Dobbins, William Garrett, Brianbert (, Brian Holland, &, Robert Bateman, )",Brianbert
Please Please Please (Sabrina Carpenter song),Sabrina Carpenter,"June 6, 2024 (2024-06-06)","Country pop, yacht rock",3:06,Island,"Sabrina Carpenter, Amy Allen, Jack Antonoff",Jack Antonoff
Poker Face (song),Lady Gaga,"September 23, 2008 (2008-09-23)","Synth-pop, dance-pop",3:58,", Streamline, 
, KonLive, 
, Cherrytree, 
, Interscope,","Stefani Germanotta, Nadir Khayat",RedOne
Pony Time,Chubby Checker,January 1961,R&B,2:27,"Parkway,  818","Don Covay, John Berry",
Poor Little Fool,Ricky Nelson,"June 23, 1958","Country, rock, [, 1, ], doo-wop, [, 2, ]",2:32,"Imperial, [, 3, ]",Sharon Sheeley,"Ricky Nelson, Ozzie Nelson, Jimmie Haskell"
Poor Side of Town,Johnny Rivers,August 1966[1],"Baroque pop, orchestral pop","3:48 (album version)
3:03 (single version)",Imperial,"Johnny Rivers, Lou Adler",Lou Adler
Pop Muzik,M,16 March 1979[1],"New wave, [, 2, ], [, 3, ], art pop, [, 4, ], synth-pop, [, 5, ], [, 6, ], disco, [, 3, ]",3:21,"MCA, EMI, Sire",Robin Scott,Robin Scott
Positions (song),Ariana Grande,"October 23, 2020 (2020-10-23)","Pop, R&B",2:52,Republic,,"London on da Track, Tommy Brown, Mr. Franks"
Praying for Time,George Michael,13 August 1990 (1990-08-13)[1],Pop,4:41,Epic,George Michael,George Michael
Private Eyes (song),Daryl Hall & John Oates,August 1981,"Pop, [, 1, ], blue-eyed soul, [, 2, ]",3:29 (album version)3:09 (UK Mix),RCA Records,"Warren Pash, Sara Allen, Janna Allen, and Daryl Hall.","Daryl Hall, John Oates, Neil Kernon"
Promiscuous (song),"Nelly Furtado, Timbaland","April 25, 2006 (2006-04-25)","Electropop, dance-pop, hip hop","4:02 (album version)
3:41 (radio edit)","Geffen, MMG","Timothy ""Attitude"" Clayton, Tim Mosley, Nelly Furtado, Nate Hills","Timbaland, Danja"
Psycho (Post Malone song),"Post Malone, Ty Dolla $ign","February 23, 2018 (2018-02-23)","Hip hop, [, 1, ]","3:41
3:27 (radio edit)",Republic,"Austin Post, Tyrone Griffin, Louis Bell","Post Malone, Louis Bell"
Quarter to Three,Gary U.S. Bonds,May 1961,"R&B, Rock & Roll",2:31,Legrand Records,"Gene Barge, Frank J. Guida, Joseph F. Royster, Gary Anderson",Frank J. Guida
Rag Doll (The Four Seasons song),The Four Seasons,June 1964[1],"Pop rock, [, 2, ], doo-wop, [, 3, ], R&B, [, 3, ]",2:54,Philips Records,"Bob Crewe, Bob Gaudio",Bob Crewe
Raindrops Keep Fallin' on My Head,B. J. Thomas,October 1969[1],"Pop, soft rock, [, 3, ], [, 4, ]",3:02,Scepter,"Burt Bacharach, Hal David","Burt Bacharach, Hal David"
Rain on Me (Lady Gaga and Ariana Grande song),"Lady Gaga, Ariana Grande","May 22, 2020 (2020-05-22)","House, dance-pop, disco",3:02,Interscope,"Lady Gaga, BloodPop, Ariana Grande, Matthew Burns, Nija Charles, Rami Yacoub, Martin Bresso, Alexander Ridha","BloodPop, Burns"
Raise Your Glass,Pink,"October 5, 2010","Pop rock, [, 1, ]",3:23,LaFace,"Alecia Moore, Max Martin, Johan Schuster","Max Martin, Shellback"
Rapstar,Polo G,"April 9, 2021","Trap, [, 1, ], [, 2, ]",2:45,Columbia,"Taurus Bartlett, Einer Bankz, Alexander Wu","Einer Bankz, Synco"
Rapture (Blondie song),Blondie,"January 12, 1981","New wave, [, 1, ], [, 2, ], hip hop, [, 2, ], [, 3, ], pop, [, 4, ], post-disco, [, 5, ], rap rock, [, 6, ]",6:31,Chrysalis,"Debbie Harry, Chris Stein",Mike Chapman
Reach Out I'll Be There,Four Tops,"August 18, 1966 (1966-08-18)[1]",Soul,3:01,Motown,"Holland–Dozier–Holland, [, 2, ]","Brian Holland, Lamont Dozier, [, 2, ]"
Reason to Believe,Rod Stewart,July 1971,,4:10,Mercury,Tim Hardin,Rod Stewart
Red Red Wine,Neil Diamond,1967 (1967),"Soft rock, [, 1, ], folk rock, [, 2, ]",2:42,Bang,Neil Diamond,"Jeff Barry, Ellie Greenwich"
Release Me (Wilson Phillips song),Wilson Phillips,June 1990,"Pop, [, 1, ], easy listening, [, 1, ]","4:56 (album version)
3:50 (single edit)",SBK,Wilson Phillips,Glen Ballard
Respect (song),Otis Redding,1965,Soul,2:05,Volt,Otis Redding,Steve Cropper
Reunited (song),Peaches & Herb,March 1979 (1979-03),"R&B, [, 1, ], soft rock, [, 1, ], disco, [, 2, ], smooth soul, [, 3, ]",5:46,Polydor,"Dino Fekaris, Freddie Perren",Freddie Perren
Rhinestone Cowboy,Glen Campbell,"May 26, 1975","Country, symphonic pop, [, 1, ]",3:15,Capitol,"Larry Weiss, [, 2, ]","Dennis Lambert, Brian Potter"
Rich Girl (Hall & Oates song),Daryl Hall & John Oates,January 1977 (1977-01),"Rock, [, 2, ], Philadelphia soul, [, 3, ], blue-eyed soul, [, 3, ], pop, [, 4, ]",2:23,RCA Victor,Daryl Hall,Christopher Bond
Rich Men North of Richmond,Oliver Anthony Music,"August 8, 2023 (2023-08-08)","Country, [, 1, ]",3:07,Self-released,Oliver Anthony,Oliver Anthony
Ridin',"Chamillionaire, Krayzie Bone","November 12, 2005[1]",Hip hop,5:024:08 (radio edit),"Universal, Chamillitary","Hakeem Seriki, Juan Salinas & Oscar Salinas, Anthony Henderson",Play-N-Skillz
Right Here Waiting,Richard Marx,"June 29, 1989 (1989-06-29)","Soft rock, [, 1, ], [, 2, ]","4:06 (UK 45 Version)
4:28 (Album/Single Version)",EMI,"Richard Marx, Bruce Gaitsch","Richard Marx, David Cole"
Right Round,"Flo Rida, Kesha","January 27, 2009","Pop-rap, EDM, [, 1, ], electropop, [, 2, ]",3:27,"Poe Boy, Atlantic","Flo Rida, Dr. Luke, Kool Kojak, DJ Frank E, Philip Lawrence, Bruno Mars, Aaron Bay-Schuck, Pete Burns, Steve Coy, Wayne Hussey, Tim Lever, Mike Percy","Dr. Luke, Kool Kojak"
Ringo (song),Lorne Greene,October 1964[1],"Country, [, 3, ]",3:14,RCA Victor,"Don Robertson, Hal Blair",
Ring My Bell,Anita Ward,1979,"Disco, [, 1, ], dance, [, 2, ]","4:28 (album)3:30 (7"" single)8:11 (12"")","Juana Records,  (through , TK, )",Frederick Knight,Frederick Knight
Rise (instrumental),Herb Alpert,"July 20, 1979","Jazz-funk, [, 2, ], disco, [, 3, ]",7:40 (album version)3:50 (single version),A&M,"Andy Armer, Randy Alpert","Herb Alpert, Randy Alpert"
Roar (song),Katy Perry,"August 10, 2013 (2013-08-10)",Power pop,3:43,Capitol,"Katy Perry, Lukasz Gottwald, Max Martin, Bonnie McKee, Henry Walter","Dr. Luke, Max Martin, Cirkut"
Rockin' Around the Christmas Tree,Brenda Lee,"November 24, 1958 (US),December 1962 (UK)[1]","Rockabilly, [, 2, ], Christmas, [, 2, ]",2:02,"Decca,  9-30776",Johnny Marks,Owen Bradley
Rockstar (DaBaby song),"DaBaby, Roddy Ricch","April 17, 2020","Hip hop, trap",3:01,", Interscope, 
, SCMG,","Jonathan Kirk, Rodrick Moore Jr., Ross Portaro IV",SethInTheKitchen
Rockstar (Post Malone song),"Post Malone, 21 Savage","September 15, 2017","Trap, [, 1, ]","3:38 (album version)
3:12 (radio edit)",Republic,"Austin Post, Shayaa Abraham-Joseph, Louis Bell, Olufunmibi Awoshiley, Carl Rosen, Jo-Vaughn Scott","Tank God, Louis Bell"
Rock Me Amadeus,Falco,May 1985,"Neue Deutsche Welle, [, 1, ], synth-pop, [, 2, ], dance-pop, [, 3, ], hip hop, [, 4, ]",3:22,A&M,"Falco, Rob Bolland, Ferdi Bolland",Bolland & Bolland
Rock Me Gently (Andy Kim song),Andy Kim,"June 22, 1974","Pop rock, proto-disco, [, 1, ]",3:24,Capitol Records,Andy Kim,Andy Kim
Rock'n Me,Steve Miller Band,"August 1976 (US)
October 1976 (UK) [1]","Pop rock, [, 3, ], [, 4, ], rock, [, 5, ], [, 6, ]",3:05,Capitol,Steve Miller,Steve Miller
Rock On (David Essex song),David Essex,August 1973,"Glam rock, [, 1, ], rockabilly, [, 2, ], dub, [, 3, ], avant-pop, [, 4, ]",3:24,Columbia,David Essex,Jeff Wayne
Rock the Boat (The Hues Corporation song),The Hues Corporation,May 1974,"Disco, soul, R&B","3:22 (album version)
3:06 (single version)",RCA Records,Wally Holmes,John Florez
Rock with You,Michael Jackson,October 1979,"Disco, funk, pop, [, 1, ]","3:38 (album version)
3:20 (single/video version)",Epic,Rod Temperton,Quincy Jones
Rock Your Baby,George McCrae,May 1974[1][2],"Disco, [, 3, ]","3:14 (7"" version)
6:24 (album version)",", TK, 
, Jay Boy,  (UK), [, 4, ],","Harry Wayne Casey, Richard Finch","Harry Wayne Casey, Richard Finch"
Rolling in the Deep,Adele,29 November 2010 (2010-11-29),"Rhythm and blues, soul",3:48,"XL, Columbia","Adele Adkins, Paul Epworth",Paul Epworth
Roll with It (Steve Winwood song),Steve Winwood,May 1988[1],"Funk, [, 2, ], R&B, [, 3, ]",4:30 (single/video edit)5:20 (album version),Virgin,"Steve Winwood, Will Jennings, Holland-Dozier-Holland","Steve Winwood, Tom Lord-Alge"
Romantic (song),Karyn White,"August 23, 1991","Dance-pop, new jack swing, [, 1, ]",4:07,Warner Bros.,"Jimmy Jam and Terry Lewis, Karyn White",Jimmy Jam and Terry Lewis
Roses Are Red (My Love),Bobby Vinton,"April 6, 1962[1]",Traditional pop,2:38,Epic,"Paul Evans, Al Byron",Robert Morgan
Royals (song),Lorde,3 June 2013 (2013-06-03),"Art pop, electropop, alternative pop",3:10,Universal,"Ella Yelich-O'Connor, Joel Little",Joel Little
Ruby Tuesday (song),the Rolling Stones,13 January 1967,"Baroque pop, [, 1, ], psychedelic pop, [, 2, ], psychedelic soul, [, 3, ]",3:12,", Decca,  (UK), 
, London,  (North America),",Jagger–Richards,Andrew Loog Oldham
Rude Boy (Rihanna song),Rihanna,"February 5, 2010 (2010-02-05)","Reggae, dancehall, electro, -, R&B",3:43,", Def Jam, 
, SRP,","Robyn Fenty, Mikkel S. Eriksen, Tor Erik Hermansen, Ester Dean, Makeba Riddick, Rob Swire","Stargate, Travis George"
Rude (song),Magic!,"October 11, 2013 (2013-10-11)",Reggae fusion,3:44,"Latium, RCA, Sony","Nasri Atweh, Adam Messinger, Mark Pellizzer, Ben Spivak, Alex Tanas",Adam Messinger
Runaround Sue,Dion,September 1961[1],"Rock and roll, [, 2, ], [, 3, ], doo wop, [, 4, ], pop, [, 4, ]",2:41,Laurie,"Dion DiMucci, Ernie Maresca",Gene Schwartz
Runaway (Del Shannon song),Del Shannon,"February 18, 1961 (1961-02-18)",Rock and Roll,2:20,BigTop,"Del Shannon, Max Crook",Harry Balk
Running Bear,Johnny Preston,August 1959,"Rockabilly, [, 2, ], rock and roll, [, 3, ]",2:38,"Mercury, [, 4, ]","J. P. Richardson, [, 4, ]","Bill Hall, [, 4, ]"
Running Scared (Roy Orbison song),Roy Orbison,March 1961,"Orchestral pop, rock",2:10,"Monument,  438","""Running Scared"":, Roy Orbison, Joe Melson, ""Love Hurts"":, Boudleaux Bryant",Fred Foster
Run It!,"Chris Brown, Juelz Santana","June 30, 2005 (2005-06-30)",,3:50,Jive,"Scott Storch, Sean Garrett, LaRon James",Storch
Rush Rush (Paula Abdul song),Paula Abdul,"April 24, 1991 (1991-04-24)","Pop, R&B",4:56,Virgin,Peter Lord,Peter Lord & Vernon Jeffrey Smith
Sad!,XXXTentacion,"March 2, 2018","Emo rap, [, 1, ], pop rap, [, 2, ], alternative R&B, [, 3, ]",2:46,"Bad Vibes Forever, Caroline","Jahseh Onfroy, John Cunningham",John Cunningham
Sad Eyes (Robert John song),Robert John,April 1979,"Soft rock, [, 1, ], [, 2, ], doo-wop, [, 2, ]",4:12 (Album Version)3:30 (Single Edit),EMI America,Robert John,"George Tobin, in association with, Mike Piccirillo"
Sailing (Christopher Cross song),Christopher Cross,"May 27, 1980 (Charted June 14)","Soft rock, yacht rock",4:14,Warner Bros.,Christopher Cross,Michael Omartian
Sara (Starship song),Starship,December 1985,"Pop rock, soft rock",4:52 (album version)4:18 (edited version),"Grunt, RCA",,"Peter Wolf, Jeremy Smith"
Satisfied (Richard Marx song),Richard Marx,April 1989,"Rock, [, 1, ], pop rock, [, 2, ]","4:12 (album version)
3:58 (single version)",EMI USA,Richard Marx,"Richard Marx, David Cole"
Saturday Night (Bay City Rollers song),Bay City Rollers,29 June 1973 (UK)[1]August 1975 (US)[2],"Bubblegum, [, 3, ], [, 4, ], power pop, [, 5, ]",2:56,Arista,"Bill Martin, Phil Coulter","Bill Martin, Phil Coulter"
Savage Love (Laxed – Siren Beat),"Jawsh 685, Jason Derulo",24 April 2020,"Siren jam, [, 1, ], dancehall, [, 2, ], [, 3, ], reggaeton, [, 2, ], [, 3, ]",2:51,Columbia,"Joshua Nanai, Jason Desrouleaux, Jacob Kasher Hindlin, Phil Greiss",Jawsh 685
