Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers,Lyricist(s),Composer(s)
Rock'n Me,Steve Miller Band,"August 1976 
October 1976","Pop rock
rock",3:05,Capitol,Steve Miller,Steve Miller,,
Don't Let the Sun Go Down on Me,Elton John,24 May 1974,Orchestral pop,5:35,"MCA
DJM
Rocket
Phonogram","Elton John
Bernie Taupin",Gus Dudgeon,,
The Way You Move,"OutKast, Sleepy Brown","August 25, 2003",Hip hop soulSouthern hip hop,3:55,"LaFace, Arista","Antwan Patton, Carlton Mahone, Patrick Brown","Big Boi, Carl-Mo",,
Ode to Billie Joe,Bobbie Gentry,July 1967,Country,4:15,Capitol,Bobbie Gentry,"Kelly Gordon, Bobby Paris",,
Physical (Olivia Newton-John song),Olivia Newton-John,28 September 1981,Dance-poppost-disco,3:44,EMI MCA,Steve KipnerTerry Shaddick,John Farrar,,
Royals (song),Lorde,3 June 2013,"Art pop
electropop
alternative pop",3:10,Universal,"Ella Yelich-O'Connor
Joel Little",Joel Little,,
Rockstar (Post Malone song),"Post Malone, 21 Savage","September 15, 2017",Trap,3:38,Republic,"Austin Post
Shayaa Abraham-Joseph
Louis Bell
Olufunmibi Awoshiley
Carl Rosen
Jo-Vaughn Scott","Tank God
Louis Bell",,
I Just Can't Stop Loving You,"Michael Jackson, Siedah Garrett","July 20, 1987","Pop
R&B",4:25,"Epic
CBS",Michael Jackson,"Quincy Jones
Michael Jackson (co.)",,
Livin' on a Prayer,Bon Jovi,October 1986,Glam metalpower pop,4:11,Mercury,"Jon Bon Jovi
Richie Sambora
Desmond Child",Bruce Fairbairn,,
Girlfriend (Avril Lavigne song),Avril Lavigne,"February 27, 2007",Pop-punkpower pop,3:37,"RCA
Columbia","Avril Lavigne
Lukasz Gottwald",Dr. Luke,,
Beat It,Michael Jackson,"February 14, 1983","Hard rock
dance-rock",4:18,Epic,Michael Jackson,"Quincy Jones
Michael Jackson",,
Torn Between Two Lovers (song),Mary MacGregor,November 1976,Soft rock,3:40,Ariola,"Peter Yarrow
Phillip Jarrell","Peter Yarrow
Barry Beckett",,
Mother-in-Law (song),Ernie K-Doe,1961,New Orleans R&B,2:25,Minit,Allen Toussaint,Allen Toussaint,,
Lean Back,"Terror Squad, Fat Joe, Remy","June 1, 2004",Hip hop,4:07,"Universal
SRC
Island","Joseph Cartagena
Reminisce Smith
Scott Storch",Scott Storch,,
Glamorous (Fergie song),"Fergie, Ludacris","January 23, 2007","R&B
pop
pop rap",4:08,"A&M
will.i.am
Interscope","Stacy Ferguson
Jamal Jones
William Adams
Elvis Williams
Christopher Bridges",Polow da Don,,
All for Love (song),"Bryan Adams, Rod Stewart, Sting","November 16, 1993",Arena rock,4:45,"A&M
Hollywood","Bryan Adams
Robert ""Mutt"" Lange
Michael Kamen","Chris Thomas
David Nicholas
Bryan Adams",,
Hang On Sloopy,the Vibrations,1964,R&B,2:53,Atlantic,"Wes Farrell
Bert Berns",,,
Kind of a Drag,The Buckinghams,December 1966,Pop,2:05,USA Records,Jim Holvay,"Carl Bonafede, Dan Belloc",,
(Just Like) Starting Over,John Lennon,23 October 1980 24 October 1980,"Pop rock
doo-wop
rock and roll",3:54,Geffen,John Lennon,"John Lennon
Yoko Ono
Jack Douglas",,
The Tide Is High,the Paragons,1967,Rocksteady,2:43,Treasure Isle,John Holt,,,
A Hard Day's Night (song),the Beatles,"10 July 1964  
13 July 1964",Rock,2:34,"Parlophone 
Capitol",Lennon–McCartney,George Martin,,
Like a Virgin (song),Madonna,"October 31, 1984",Dance-pop,3:38,"Sire
Warner Bros.",,Nile Rodgers,Billy Steinberg,Tom Kelly
(You're) Having My Baby,"Paul Anka, Odia Coates",June 1974,"Soft rock
easy listening",2:32,United Artists Records UA-XW454-W,Paul Anka,Rick Hall,,
Empire State of Mind,"Jay-Z, Alicia Keys","October 20, 2009",Hip hoppop rap,4:36,"Roc Nation
Atlantic","Shawn Carter
Alexander Shuckburgh
Janet Sewell-Ulepic
Angela Hunte
Alicia Keys
Sylvia Robinson
Bert Keyes","Al Shux
Janet Sewell-Ulepic
Angela Hunte",,
Sweet Child o' Mine,Guns N' Roses,June 1988,"Hard rock
glam metal",4:53,Geffen,Guns N' Roses,Mike Clink,,
Jimmy Cooks,"Drake, 21 Savage","October 11, 2022",Trap,3:38,"OVO
Republic","Aubrey Graham
Shéyaa Bin Abraham-Joseph
Brytavious Chambers
Anderson Hernandez
Kevin Gomringer
Tim Gomringer
Douglas Ford
Ibn Young
Harry Ray
Al Goodman
Walter Morris
Artem Teslenko","Vinylz
Tay Keith
Cubeatz
Tizzle",,
Last Friday Night (T.G.I.F.),Katy Perry,"June 6, 2011","Dance-pop
new wave",3:50,Capitol,"Katy Perry
Lukasz Gottwald
Max Martin
Bonnie McKee","Dr. Luke
Max Martin",,
You Make Me Feel Like Dancing,Leo Sayer,October 1976,"Disco
pop
R&B",412:50,Chrysalis Warner Bros.,Leo SayerVini Poncia[1][2],Richard Perry,,
Half-Breed (song),Cher,"July 23, 1973",Pop rockfolk rock,2:46,MCA,Al CappsMary Dean,Snuff Garrett,,
Viva la Vida,Coldplay,7 May 2008  25 May 2008,"Baroque pop
orchestral pop
art rock",4:04,"Parlophone
Capitol","Guy Berryman
Jonny Buckland
Will Champion
Chris Martin","Markus Dravs
Brian Eno
Jon Hopkins
Rik Simpson",,
The Happening (song),The Supremes,"March 20, 1967",Pop,2:52,Motown M 1107,Holland–Dozier–Holland–DeVol,Brian Holland Lamont Dozier,,
Monkey (song),George Michael,4 July 1988,"Dance-rock
synth-funk",4:47,Columbia,George Michael,"George Michael
Jimmy Jam and Terry Lewis",,
Killing Me Softly with His Song,Lori Lieberman,1972,Folk,3:46,Capitol,"Charles Fox
Norman Gimbel
Lori Lieberman (uncredited)[1][2]",Fox and Gimbel,,
It's Now or Never (song),Elvis Presley,"July 5, 1960",Pop,3:15,RCA Victor,"Wally Gold
Aaron Schroeder
Eduardo di Capua",,,
When I Need You,Leo Sayer,February 1977,Soft rock,4:09,Chrysalis Warner Bros.,Albert HammondCarole Bayer Sager,Richard Perry,,
Afternoon Delight,Starland Vocal Band,April 1976,"Soft rock
country rock
folk-pop",3:12,"Windsong 
Windlands International",Bill Danoff[3],Milt Okun,,
Everybody's Somebody's Fool,Connie Francis,"April 7, 1960",Country,2:37,MGM,Jack KellerHoward Greenfield,Arnold Maxin,,
"Monday, Monday",the Mamas & the Papas,March 1966,"Pop, folk rock",3:09,Dunhill,John Phillips,Lou Adler,,
Laffy Taffy (song),D4L,"October 18, 2005",Snap,3:44,WEA,"Lafabian Williams, Adrian Parks, Dennis Butler, Cory Way, Broderick Thompson Smith, Michael Johnson",K-Rab,,
"I'm Henery the Eighth, I Am",Harry Champion,,Music Hall,,,"Fred Murray
R. P. Weston",,,
Don't You Want Me,the Human League,27 November 1981,"Synth-pop
new pop
new wave",3:57,Virgin,"Jo Callis
Philip Oakey
Philip Adrian Wright",Martin Rushent,,
She Drives Me Crazy,Fine Young Cannibals,26 December 1988,"Dance-rock
funk
soul
pop",3:38,London Records,"Roland Gift
David Steele","David Z
Fine Young Cannibals",,
Knock Three Times,Dawn,November 1970,Pop,2:57,Bell,Irwin LevineL. Russell Brown,Hank MedressDave Appell,,
Let's Stay Together (Al Green song),Al Green,November 1971,Soul,3:18,Hi,Al GreenWillie MitchellAl Jackson Jr.,Willie Mitchell,,
Diamonds (Rihanna song),Rihanna,"September 26, 2012","Pop
electronic
R&B",3:45,"Def Jam
SRP","Sia Furler
Benjamin Levin
Mikkel S. Eriksen
Tor Erik Hermansen","Benny Blanco
Stargate",,
Stay (I Missed You),Lisa Loeb and Nine Stories,"May 17, 1994",Pop rockfolk rockfolk-popalternative rockalternative pop,3:04,RCABMG,Lisa Loeb,Juan Patiño,,
Aquarius/Let the Sunshine In,the 5th Dimension,March 1969,Psychedelic soulsunshine popbubblegum pop,4:49,Soul City,,Bones Howe,James RadoGerome Ragni,Galt MacDermot
Señorita (Shawn Mendes and Camila Cabello song),"Shawn Mendes, Camila Cabello","June 21, 2019",Latin pop,3:11,Island,,"Andrew Watt
Benny Blanco
Cashmere Cat","Shawn Mendes
Camila Cabello
Alexandra Tamposi","Andrew Wotman
Benjamin Levin
Alexandra Tamposi
Charlotte Aitchison
Jack Patterson
Magnus August Høiberg"
Starboy (song),"the Weeknd, Daft Punk","September 21, 2016","R&B
electropop",3:50,"XO
Republic","Abel Tesfaye
Guy-Manuel de Homem-Christo
Thomas Bangalter
Martin McKinney
Henry Walter
Jason Quenneville","Daft Punk
Don McKinney
Cirkut
The Weeknd",,
Sister Golden Hair,America,"March 19, 1975","Soft rock
country rock
folk rock",3:16,Warner Bros. 8086,Gerry Beckley,George Martin,,
Lightnin' Strikes,Lou Christie,December 1965,Pop,3:05,MGM,"Lou Christie, Twyla Herbert",,,
Saturday Night (Bay City Rollers song),Bay City Rollers,29 June 1973 August 1975,"Bubblegum
power pop",2:56,Arista,"Bill Martin, Phil Coulter","Bill Martin, Phil Coulter",,
Georgia on My Mind,,,,,,,,,
Brown Sugar (Rolling Stones song),The Rolling Stones,16 April 1971,"Hard rock
rock and roll
blues rock
boogie rock",3:50,Rolling Stones,Jagger–Richards,Jimmy Miller,,
Angel (Shaggy song),"Shaggy, Rayvon",9 January 2001,,3:55,MCA,"Steve Miller
Ahmet Ertegun
Eddie Curtis
Chip Taylor","Shaun ""Sting"" Pizzonia",,
Top of the World (The Carpenters song),Carpenters,"September 17, 1973","Soft rock
pop",2:56,A&M1468,"Richard Carpenter, John Bettis",Jack Daugherty,,
Baby Don't Forget My Number,Milli Vanilli,December 1988,Dance-pop,4:00,"Hansa
Arista","Frank Farian
Brad Howell",Frank Farian,,
Chapel of Love,The Dixie Cups,April 1964,Pop,2:45,Red Bird,"Jeff Barry, Ellie Greenwich and Phil Spector","Jerry Leiber, Mike Stoller, Ellie Greenwich and Jeff Barry",,
My Heart Will Go On,Celine Dion,"November 24, 1997",Pop,4:40,ColumbiaEpic,,Walter AfanasieffJames HornerSimon Franglen,Will Jennings,James Horner
Broken Wings (Mr. Mister song),Mr. Mister,"June 6, 1985","Pop rock
new wave",5:42,RCA,"Richard Page
Steve George
John Lang","Mr. Mister
Paul De Villiers",,
It's Too Late (Carole King song),Carole King,"April 16, 1971",Popsoft rockjazz,3:51,Ode,,Lou Adler,Toni Stern,Carole King
So Much in Love,the Tymes,1963,"Doo-wop
R&B",2:08,Parkway Records,"George Williams
Bill Jackson
Roy Straigis",,,
Quarter to Three,Gary U.S. Bonds,May 1961,"R&B, Rock & Roll",2:31,Legrand Records,"Gene Barge, Frank J. Guida, Joseph F. Royster, Gary Anderson",Frank J. Guida,,
Timber (Pitbull song),"Pitbull, Kesha","October 7, 2013","Dance-pop
EDM
folktronica",3:24,"Polo Grounds
RCA
Mr. 305","Kesha Sebert
Armando C. Pérez
Lukasz Gottwald
Aaron Davis Arnold
Priscilla Hamilton
Jamie Sanderson
Breyan Isaac
Henry Walter
Pebe Sebert
Lee Oskar
Keri Oskar
Greg Errico
Steve Arrington
Charles Carter
Waung Hankerson
Roger Parker[1]","Dr. Luke
Cirkut
Sermstyle",,
Take a Bow (Madonna song),Madonna,"December 6, 1994",PopR&Bsoul,5:21,MaverickSireWarner Bros.,MadonnaKenneth Edmonds,MadonnaBabyface,,
Leaving on a Jet Plane,John Denver,October 1969,Folk,3:37,RCA,John Denver,Milton Okun,,
No Sugar Tonight/New Mother Nature,The Guess Who,March 1970,"Blues rock, psychedelic rock",4:52,RCA Victor,"Burton Cummings
Randy Bachman",Jack Richardson,,
Macarena,Los del Río,"1993 
15 August 1995","Flamenco
pop
dance-pop",4:10,RCA,"Rafael Ruiz Perdigones
Antonio Romero Monge",Los del Río,,
Dilemma (Nelly song),"Nelly, Kelly Rowland","June 25, 2002","Pop
R&B",4:49,"Universal
Columbia","Nelly
Antoine ""Bam"" Macon
Ryan Bowser
Kenneth Gamble
Bunny Sigler","Macon
Bowser",,
Dreams (Fleetwood Mac song),Fleetwood Mac,24 March 1977,Soft rock,4:18,Warner Bros.,Stevie Nicks,"Fleetwood Mac
Ken Caillat
Richard Dashut",,
Sheila (Tommy Roe song),Tommy Roe,1962,"Bubblegum pop, Rockabilly, Rock and Roll, Lubbock Sound",2:03,ABC-Paramount,Tommy Roe,,,
The One That You Love,Air Supply,30 April 1981,Soft rock,4:17,Arista,Graham Russell,Harry Maslin,,
Centerfold (song),The J. Geils Band,"September 13, 1981",Power poppop rocksynth-rock,365:01,EMI America,Seth Justman,Seth Justman,,
Penny Lane,the Beatles,13 February 1967,"Psychedelic pop
progressive pop
baroque pop",3:03,"Parlophone 
Capitol",Lennon–McCartney,George Martin,,
I Still Haven't Found What I'm Looking For,U2,25 May 1987,Rockgospel,4:37,Island,,Daniel LanoisBrian Eno,Bono,U2
Our Day Will Come,Ruby & the Romantics,December 1962,"R&B
bossa nova",2:32,Kapp,Bob HilliardMort Garson,Allen Stanton,,
One Week (song),Barenaked Ladies,"September 15, 1998","Alternative rock
pop
rap rock
pop rock",2:48,Reprise,Ed Robertson,"Barenaked Ladies
David Leonard
Susan Rogers",,
Heartbreaker (Mariah Carey song),"Mariah Carey, Jay-Z","August 23, 1999",Pophip hopR&B,4:47,Columbia,"Mariah Carey
Shawn Carter
Shirley Elliston
Lincoln Chase
Narada Michael Walden
Jeffrey Cohen","Mariah Carey
DJ Clue
Ken “Duro” Ifill",,
Kiss on My List,Hall & Oates,November 1980,"Synth-pop
new wave
yacht rock",4:25,RCA Records,"Daryl Hall
Janna Allen","Daryl Hall
John Oates",,
Blinded by the Light,Bruce Springsteen,February 1973,"Folk rock
boogie rock
R&B",5:06,Columbia,Bruce Springsteen,"Mike Appel
Jim Cretecos",,
Fallin' (Alicia Keys song),Alicia Keys,"April 10, 2001",R&Bsoul,3:30,J,Alicia Keys,Alicia Keys,,
It Wasn't Me,Shaggy,7 November 2000,Reggae,3:47,MCA,"Orville Burrell
Rickardo Ducent
Shaun Pizzonia
Brian Thompson","Shaun ""Sting"" Pizzonia",,
"Get Outta My Dreams, Get into My Car",Billy Ocean,18 January 1988,"Dance-pop
R&B",4:43,Jive,"Billy Ocean
Robert John ""Mutt"" Lange","Robert John ""Mutt"" Lange",,
Irreplaceable,Beyoncé,"October 23, 2006","Pop
R&B",3:47,Columbia,,"Beyoncé Knowles
Stargate
Ne-Yo","Shaffer ""Ne-Yo"" Smith","Beyoncé Knowles
Tor Erik Hermansen
Espen Lind
Amund Bjorklund
Mikkel S. Eriksen"
Need You Tonight,INXS,21 September 1987,"Funk rock
dance-rock
new wave",3:00,WEA,"Andrew Farriss
Michael Hutchence",Chris Thomas,,
Fortnight (song),"Taylor Swift, Post Malone","April 19, 2024","Downtempo
electropop
synth-pop
new wave",3:48,Republic,"Taylor Swift
Jack Antonoff
Austin Post","Taylor Swift
Jack Antonoff",,
We Can Work It Out,the Beatles,3 December 1965,Folk rock,2:15,"Parlophone , Capitol",Lennon–McCartney,George Martin,,
Jacob's Ladder (Huey Lewis and the News song),Huey Lewis and the News,January 1987,Rock,3:33,Chrysalis,"Bruce Hornsby, John Hornsby",Huey Lewis and the News,,
Smoke Gets in Your Eyes,"Gertrude Niesen, Ray Sinatra",1933,,,Victor,,Ray Sinatra,Otto Harbach,Jerome Kern
Midnight Train to Georgia,Gladys Knight & the Pips,August 1973,"Soul
country soul
R&B
soft rock",3:55,Buddah,Jim Weatherly,"Tony Camillo & Gladys Knight & the Pips
 Engineer/Mixer Ed Stasium",,
Seven (Jungkook song),"Jungkook, Latto","July 14, 2023","UK garage
pop",3:05,Big Hit,"Andrew Watt
Cirkut
Jon Bellion
Latto
Theron Makiel Thomas","Watt
Cirkut",,
That's What I Like (Bruno Mars song),Bruno Mars,"January 30, 2017","Hip hop soul
new jack swing
R&B
funk",3:26,Atlantic,"Bruno Mars
Philip Lawrence
Christopher Brody Brown
James Fauntleroy
Johnathan Yip
Ray Romulus
Jeremy Reeves
Ray McCullough II","Shampoo Press & Curl
The Stereotypes (co.)",,
Someone like You (Adele song),Adele,24 January 2011,Soulpop,4:45,XLColumbia,Adele AdkinsDan Wilson,Adele AdkinsDan Wilson,,
I Shot the Sheriff,Bob Marley and the Wailers,12 February 1973,Reggae,4:41,Tuff GongIsland,Bob Marley,Chris BlackwellThe Wailers,,
The Game of Love (Wayne Fontana and the Mindbenders song),"Wayne Fontana, The Mindbenders",22 January 1965,"Blues rock
beat
blue-eyed soul",2:04,Fontana,Clint Ballard Jr.,,,
L'amour est bleu,Vicky Leandros,1967,,2:59,,,,Pierre Cour,André Popp
The Sound of Silence,Simon & Garfunkel,"October 19, 1964  September 12, 1965",Folk rock,3:05,Columbia,Paul Simon,Tom Wilson,,
Judy in Disguise (With Glasses),John Fred & His Playboy Band,October 1967,"R&B
novelty
pop rock",2:55,Paula,John Fred GourrierAndrew Bernard,John Fred GourrierAndrew Bernard,,
Come On Eileen,Dexys Midnight Runners and the Emerald Express,"June 25, 1982 January 1983",New waveCeltic folkblue-eyed soulpoppop rock,4:12,Mercury,Kevin RowlandJim PatersonBilly Adams,Clive LangerAlan Winstanley,,
Down (Jay Sean song),"Jay Sean, Lil Wayne",31 May 2009,ElectropopR&B,3:32,Jayded2Point9Cash MoneyUniversal Republic,Kamaljit JhootiDwayne CarterJared CotterJ-RemyBobby BassJonathan Perkins,J-RemyBobby Bass,,
Wedding Bell Blues,The 5th Dimension,September 1969,Soulbubblegum pop Sunshine Pop,2:42,Soul City,Laura Nyro,Bones Howe,,
Rise (instrumental),Herb Alpert,"July 20, 1979","Jazz-funk
disco",3:50,A&M,"Andy Armer, Randy Alpert","Herb Alpert, Randy Alpert",,
Blurred Lines,"Robin Thicke, T.I., Pharrell","March 27, 2013",R&Bpopfunkhip hopblue-eyed soul,4:25,"Star Trak
Interscope","Robin Thicke
Pharrell Williams
Clifford Harris Jr.
Marvin Gaye[a]",Pharrell Williams,,
Family Affair (Sly and the Family Stone song),Sly and the Family Stone,"November 6, 1971",Funkpsychedelic soul,3:06,Epic 5-10805,Sly Stone,Sly Stone,,
Fame (David Bowie song),David Bowie,"2 June 1975  
25 July 1975",Funkfunk rocksoul,3:30,RCA,David BowieCarlos AlomarJohn Lennon,Harry MaslinDavid Bowie,,
You Don't Have to Be a Star (To Be in My Show),"Marilyn McCoo, Billy Davis Jr.",September 1976,"R&B
soul",3:40,ABC Records,"James Dean, John Glover",Don Davis,,
Thank God I Found You,"Mariah Carey, Joe, 98 Degrees","November 15, 1999","Pop
R&B",4:17,Columbia,"Mariah Carey
James Harris III
Terry Lewis","Mariah Carey
Jimmy Jam and Terry Lewis",,
Yeah! (Usher song),"Usher, Lil Jon, Ludacris","January 10, 2004",Crunk&B,4:13,Arista,Christopher BridgesJames PhillipsJonathan SmithLaMarquis JeffersonPatrick SmithSean Garrett,Lil Jon,,
Come On Over Baby (All I Want Is You),Christina Aguilera,"July 11, 2000",Bubblegum popdance-pop,3:09,RCA,Johan ÅbergPaul ReinChristina AguileraRon FairChaka BlackmonRaymond ChamEric DawkinsShelly PeikenGuy Roche,Ron FairCelebrity Status,,
West End Girls,Pet Shop Boys,9 April 1984,Synth-pop,4:45,Bobcat,"Neil Tennant
Chris Lowe",Bobby Orlando,,
We Belong Together,Mariah Carey,"March 15, 2005",R&B,3:21,Island Def Jam,"Mariah Carey
Jermaine Dupri
Manuel Seal
Johntá Austin
Kenneth Edmonds
Darnell Bristol
Bobby Womack
Patrick Moten
Sandra Sully","Mariah Carey
Jermaine Dupri
Manuel Seal",,
The Living Years,Mike + The Mechanics,27 December 1988,Soft rock,5:32,"Atlantic, WEA","B. A. Robertson, Mike Rutherford","Christopher Neil, Mike Rutherford",,
Welcome Back (John Sebastian song),John Sebastian,March 1976,"Folk rock, blues rock",2:51,Reprise,John Sebastian,"Steve Barri, John Sebastian",,
Maria Maria,"Santana, the Product G&B","September 14, 1999",Latin hip hop,4:23,Arista,"Wyclef Jean
Jerry ""Wonda"" Duplessis
Carlos Santana
Karl Perazzo
Raul Rekow","Wyclef Jean
Jerry ""Wonda"" Duplessis",,
Jive Talkin',Bee Gees,May 1975,"Funk
disco
R&B
blue-eyed soul",3:33,RSO,"Barry Gibb
Robin Gibb
Maurice Gibb",Arif Mardin,,
Because I Love You (The Postman Song),Stevie B,"September 1, 1990",Pop,5:05,"LMR
RCA",Warren Allen Brooks,Stevie B,,
Up Where We Belong,"Joe Cocker, Jennifer Warnes","July 22, 1982",Popsoft rockeasy listening,4:00,Island,,Stewart Levine,Will Jennings,"Jack Nitzsche
Buffy Sainte-Marie"
Step by Step (New Kids on the Block song),New Kids on the Block,"May 10, 1990","Dance-pop, R&B",4:29,Columbia,Maurice Starr,Maurice Starr,,
Love Theme from Romeo and Juliet,Henry Mancini,May 1969,"Pop
easy listening",2:29,RCA Victor,Nino Rota,Joe Reisman,,
Holding Back the Years,Simply Red,4 November 1985 6 May 1986,"Sophisti-pop
soft rock",4:04,"Elektra
WEA","Mick Hucknall
Neil Moss",Stewart Levine,,
Blinding Lights,the Weeknd,"November 29, 2019","Synth-pop
electropop
new wave
synthwave",3:22,"XO
Republic","Abel Tesfaye
Ahmad Balshe
Jason Quenneville
Max Martin
Oscar Holter","Max Martin
Oscar Holter
The Weeknd",,
Brandy (You're a Fine Girl),Looking Glass,"May 18, 1972","Soft rock
pop",3:10,Epic,Elliot Lurie,"Mike Gershman, Bob Liftin and the Looking Glass",,
Lucy in the Sky with Diamonds,the Beatles,26 May 1967,Psychedelic popacid rock,3:28,Parlophone,Lennon–McCartney,George Martin,,
The Stripper,David Rose,May 1962,Jazz,1:57,MGM,David Rose,,,
Walk Like a Man (The Four Seasons song),The Four Seasons,January 1963,Rock and rollpopdoo-wop,2:17,Vee-Jay,"Bob Crewe, Bob Gaudio",Bob Crewe,,
Two Hearts (Phil Collins song),Phil Collins,14 November 1988,"Pop
soul",3:23,"Atlantic
Virgin
WEA","Phil Collins
Lamont Dozier","Phil Collins
Lamont Dozier",,
All I Have (song),"Jennifer Lopez, LL Cool J","December 14, 2002","R&B
hip hop",4:14,Epic,"Jennifer Lopez
James Todd Smith
Makeba Riddick
Curtis Richardson
Ron G
Dave McPherson
Lisa Peters
William Jeffrey","Cory Rooney
Ron G
Dave McPherson",,
Telstar (instrumental),The Tornados,17 August 1962,"Space age pop
surf rock
rock and roll",3:15,"Decca [4]
London",Joe Meek,Joe Meek,,
Love in This Club,"Usher, Young Jeezy","February 22, 2008","R&B
hiphop pop",4:19,LaFace,"Usher Raymond
Jamal Jones
Jay Jenkins
Lamar Taylor
Ryon Lovett
Keith Thomas
Darnell Dalton
Keri Hilson",Polow da Don,,
Get Down Tonight,KC and the Sunshine Band,"February 11, 1975",DiscofunkR&B,3:21,TK,Harry Wayne CaseyRichard Finch,Harry Wayne CaseyRichard Finch,,
Check on It,"Beyoncé, Slim Thug, Bun B","October 11, 2005",R&Bhip hop,3:30,ColumbiaMusic World,Beyoncé KnowlesKasseem DeanBernard FreemanSean GarrettAngela BeyincéStayve Thomas,Swizz Beatz,,
You Are the Sunshine of My Life,Stevie Wonder,March 1973,"Pop-soul
easy listening",2:58,Tamla,Stevie Wonder,Stevie Wonder,,
Die for You (The Weeknd song),the Weeknd,"September 19, 2017",R&B,4:20,XORepublic,Abel TesfayeMartin McKinneyMejdi RharsDylan WigginsMagnus HøibergWilliam Thomas WalshHenry Walter,Doc McKinneyCirkutThe WeekndCashmere CatPrince 85,,
Reunited (song),Peaches & Herb,March 1979,"R&B
soft rock
disco
smooth soul",5:46,Polydor,"Dino Fekaris
Freddie Perren",Freddie Perren,,
I'll Be There for You (Bon Jovi song),Bon Jovi,February 1989,"Glam metal
hard rock",5:41,Mercury,"Jon Bon Jovi
Richie Sambora",Bruce Fairbairn,,
Pillowtalk (song),Zayn,29 January 2016,"Alternative R&B
electronic",3:23,RCA,"Zayn Malik
Levi Lennox
Anthony Hannides
Michael Hannides
Joe Garrett",Levi Lennox,,
Love Will Keep Us Together,Neil Sedaka,1973,Pop,,MGM,,"Neil Sedaka, 10cc",,
A Horse with No Name,America,"November 12, 1971 
January 19, 1972","Folk rock
soft rock
country rock",4:08,Warner Bros.,Dewey Bunnell,Ian Samwell,,
Against All Odds (Take a Look at Me Now),Phil Collins,"February 1984 
26 March 1984","Pop rock
soft rock",3:23,Atlantic,Phil Collins,Arif Mardin,,
Stay (Maurice Williams song),Maurice Williams and the Zodiacs,August 1960,Doo-wop,1:36,Herald,Maurice Williams,Phil Gernhard,,
I'm Your Baby Tonight (song),Whitney Houston,"September 28, 1990","R&B
new jack swing",4:59,Arista,"L.A. Reid
Babyface","L.A. Reid
Babyface",,
I Can Help,Billy Swan,July 1974,"Rockabilly
country",2:58,Monument,Billy Swan,Chip Young and Billy Swan,,
Listen to What the Man Said,Wings,16 May 1975,"Soft rock
pop rock
disco",3:57,Capitol,"Paul McCartney
Linda McCartney",Paul McCartney,,
I Don't Want to Miss a Thing,Aerosmith,"July 29, 1998","Hard rock
pop rock
glam metal",4:59,Columbia,Diane Warren,Matt Serletic,,
Genie in a Bottle,Christina Aguilera,"June 22, 1999","Soul-pop
teen pop
dance-pop
R&B",3:36,RCA,"David Frank
Steve Kipner
Pamela Sheyne","David Frank
Steve Kipner",,
If I Can't Have You (Bee Gees song),Bee Gees,"13 December 1977 
6 January 1978",Disco,3:25,RSO,"Barry Gibb
Robin Gibb
Maurice Gibb","Bee Gees
Albhy Galuten
Karl Richardson",,
Miami Vice Theme,Jan Hammer,August 1985,Electronic rock,2:26,MCA,Jan Hammer,Jan Hammer,,
Rapture (Blondie song),Blondie,"January 12, 1981",New wavehip hoppoppost-discorap rock,6:31,Chrysalis,"Debbie Harry
Chris Stein",Mike Chapman,,
(Everything I Do) I Do It for You,Bryan Adams,"June 17, 1991",Soft rock,4:06,A&M,"Bryan AdamsMichael KamenRobert ""Mutt"" Lange","Robert ""Mutt"" Lange",,
One More Try (Timmy T song),Timmy T,"October 24, 1990","Pop
freestyle",3:29,"Quality, Pump",Timothy Torres,Timothy Torres,,
Poker Face (song),Lady Gaga,"September 23, 2008","Synth-pop
dance-pop",3:58,"Streamline
KonLive
Cherrytree
Interscope","Stefani Germanotta
Nadir Khayat",RedOne,,
Bleeding Love,Leona Lewis,16 September 2007,"Pop
R&B",4:22,"Syco Music
J","Jesse McCartney
Ryan Tedder",Ryan Tedder,,
This Guy's in Love with You,Herb Alpert,May 1968,"Pop, easy listening",3:55,A&M,"Burt Bacharach, Hal David","Herb Alpert, Jerry Moss",,
The Night Chicago Died,Paper Lace,15 June 1974,Pop rock,3:30,"Bus Stop , Philips , Polydor , Mercury , Nippon Phonogram , EMI","Peter Callander, Mitch Murray","Peter Callander, Mitch Murray",,
Kiss You All Over,Exile,1978,"Soft rock
disco",4:57,Warner/Curb Records RAK Records,"Mike Chapman
Nicky Chinn",Mike Chapman,,
Escape (The Piña Colada Song),Rupert Holmes,"September 17, 1979",Soft rock,3:50,Infinity,Rupert Holmes,Rupert HolmesJim Boyer,,
The Power of Love (Huey Lewis and the News song),Huey Lewis and the News,"June 17, 1985","Pop rock
power pop",3:53,Chrysalis,"Huey Lewis, Chris Hayes, Johnny Colla",Huey Lewis and the News,,
First Class (song),Jack Harlow,"April 8, 2022",Hip hop,2:53,"Atlantic
Generation Now","Jackman Harlow
Jasper Harris
Douglas Ford
Rogét Chahayed
José Velazquez
Micaiah Raheem
Nickie Jon Pabón
Ryan Vojtesak
Stacy Ferguson
Jamal Jones
Will Adams
Elvis Williams
Christopher Bridges","Chahayed
Harlow
Harris
Charlie Handsome",,
Lady (Kenny Rogers song),Kenny Rogers,"September 29, 1980","Country
R&B
soul",3:54,Liberty 1380,Lionel Richie,Lionel Richie,,
