Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers
Paint It Black,,"7 May 1966 (1966-05-07) (US)
13 May 1966 (1966-05-13) (UK)","Raga rock, psychedelic rock",3:46,", Decca,  , 
, London,  ,",Jagger–Richards,Andrew Loog Oldham
Paint the Town Red (Doja Cat song),,"August 4, 2023 (2023-08-04)",Hip-hop,"3:51 (album version)
3:27 (radio edit)",", Kemosabe, 
, RCA,",,"Earl on the Beat, Rubin, Jean-Baptiste, DJ Replay"
Panda (song),,"December 15, 2015 (2015-12-15)","Hip hop, trap",4:10 (album version)3:46 (radio edit),"GOOD, Def Jam","Sidney Selby III, Adnan Khan",Menace
Papa Don't Preach,,"June 11, 1986",Dance-pop,4:29,", Sire, 
, Warner Bros.,",,"Madonna, Stephen Bray"
Papa Was a Rollin' Stone,,"May 9, 1972",Soul,3:25,Gordy,"Norman Whitfield, Barrett Strong",Norman Whitfield
Paperback Writer,,30 May 1966 (1966-05-30),"Hard rock, power pop, psychedelic rock","2:16 (stereo)
2:23 (mono)",", Capitol,  , 
, Parlophone,  ,",Lennon–McCartney,George Martin
Part of Me (Katy Perry song),,"February 13, 2012","Dance-pop, power pop, electropop",3:35,Capitol,"Katy Perry, Lukasz Gottwald, Max Martin, Bonnie McKee","Dr. Luke, Max Martin, Cirkut"
Part-Time Lover,,"August 24, 1985","Synth-pop, R&B, soul","4:12 (album version)3:43 (7"" version)8:20 (12"" version)",Tamla,Stevie Wonder,Stevie Wonder
Party Rock Anthem,,"January 25, 2011 (2011-01-25)",Hip house,"4:23 (main/album version)
3:52 (radio edit 1)
3:27 (radio edit 2)",", will.i.am, 
, Cherrytree, 
, Interscope, 
, Panther,","David Listenbee, Stefan Gordy, Skyler Gordy, Peter Schroeder","GoonRock, Redfoo"
Peaches (Justin Bieber song),,"March 19, 2021","Pop, R&B, pop soul",3:18,Def Jam,"Justin Bieber, Ashton Simmonds, Giveon Evans, Bernard Harvey, Luis Martinez, Jr., Andrew Wotman, Louis Bell, Matthew Sean Leon, Felisha King-Harvey, Aaron Simmonds, Keavan Yazdani","Harv, Shndo"
Penny Lane,,13 February 1967 (1967-02-13),"Psychedelic pop, progressive pop, baroque pop",3:03,", Parlophone,  , 
, Capitol,  ,",Lennon–McCartney,George Martin
People Got to Be Free,,"July 1, 1968",Blue-eyed soul,3:01,Atlantic,"Felix Cavaliere, Eddie Brigati","The Rascals, with, Arif Mardin"
Peppermint Twist,,1961 (1961),Rock and roll,4:05 (Parts 1 and 2 combined),Roulette,"Joey Dee, Henry Glover",
Perfect (Ed Sheeran song),,26 September 2017 (2017-09-26),Pop,4:23,", Asylum, 
, Atlantic,",Ed Sheeran,"Ed Sheeran, Will Hicks"
Permission to Dance,,"July 9, 2021 (2021-07-09)",Dance-pop,3:07,", Big Hit, 
, Sony,","Ed Sheeran, Johnny McDaid, Steve Mac, Jenna Andrews","Steve Mac, Jenna Andrews, Stephen Kirk"
Philadelphia Freedom (song),,28 February 1975 (1975-02-28),"Philly soul, pop, disco",5:385:20 (edited version),"MCA,  , DJM,","Elton John, Bernie Taupin",Gus Dudgeon
Photograph (Ringo Starr song),,24 September 1973,"Rock, pop",4:00,Apple,"Richard Starkey, George Harrison",Richard Perry
Physical (Olivia Newton-John song),,28 September 1981,"Dance-pop, post-disco",3:44,"EMI,  , MCA,","Steve Kipner, Terry Shaddick",John Farrar
Pick Up the Pieces (Average White Band song),,July 1974,"Funk, jazz-funk, R&B","3:59 (album version)
3:00 (single version)",Atlantic,"Roger Ball, Malcolm Duncan, Alan Gorrie, Onnie McIntyre, Hamish Stuart, Robbie McIntosh",Arif Mardin
Pillowtalk (song),,29 January 2016,"Alternative R&B, electronic",3:23,RCA,"Zayn Malik, Levi Lennox, Anthony Hannides, Michael Hannides, Joe Garrett",Levi Lennox
Play That Funky Music,,April 1976,"Funk rock, R&B","5:00 (album version)
3:12 (single/video version)",Epic,Rob Parissi,Rob Parissi
Please Don't Go (KC and the Sunshine Band song),,"July 12, 1979","Soul, R&B",3:43,TK,"Harry Wayne Casey, /, Richard Finch",Harry Wayne Casey / Richard Finch
Please Mr. Postman,,"August 21, 1961","Pop, soul, doo-wop",2:31,Tamla,"Georgia Dobbins, William Garrett, Brianbert (, Brian Holland, &, Robert Bateman, )",Brianbert
Please Please Please (Sabrina Carpenter song),,"June 6, 2024 (2024-06-06)","Country pop, yacht rock",3:06,Island,"Sabrina Carpenter, Amy Allen, Jack Antonoff",Jack Antonoff
Poker Face (song),,"September 23, 2008 (2008-09-23)","Synth-pop, dance-pop",3:58,", Streamline, 
, KonLive, 
, Cherrytree, 
, Interscope,","Stefani Germanotta, Nadir Khayat",RedOne
Pony Time,,January 1961,R&B,2:27,"Parkway,  818","Don Covay, John Berry",
Poor Little Fool,,"June 23, 1958","Country, rock, doo-wop",2:32,"Imperial, [, 3, ]",Sharon Sheeley,"Ricky Nelson, Ozzie Nelson, Jimmie Haskell"
Poor Side of Town,,August 1966,"Baroque pop, orchestral pop","3:48 (album version)
3:03 (single version)",Imperial,"Johnny Rivers, Lou Adler",Lou Adler
Pop Muzik,,16 March 1979,"New wave, art pop, synth-pop, disco",3:21,"MCA, EMI, Sire",Robin Scott,Robin Scott
Positions (song),,"October 23, 2020 (2020-10-23)","Pop, R&B",2:52,Republic,,"London on da Track, Tommy Brown, Mr. Franks"
The Power of Love (Huey Lewis and the News song),,"June 17, 1985","Pop rock, power pop","3:53 (single version)
7:10 (12-inch long version)",Chrysalis,"Huey Lewis, Chris Hayes, Johnny Colla",Huey Lewis and the News
The Power of Love (Jennifer Rush song),,December 1984 (1984-12),Pop,"6:00 (album version)
4:20 (single version)",CBS,,"Gunther Mende, Candy DeRouge"
Praying for Time,,13 August 1990 (1990-08-13),Pop,4:41,Epic,George Michael,George Michael
Private Eyes (song),,August 1981,"Pop, blue-eyed soul",3:29 (album version)3:09 (UK Mix),RCA Records,"Warren Pash, Sara Allen, Janna Allen, and Daryl Hall.","Daryl Hall, John Oates, Neil Kernon"
Promiscuous (song),,"April 25, 2006 (2006-04-25)","Electropop, dance-pop, hip hop","4:02 (album version)
3:41 (radio edit)","Geffen, MMG","Timothy ""Attitude"" Clayton, Tim Mosley, Nelly Furtado, Nate Hills","Timbaland, Danja"
The Promise of a New Day,,"July 5, 1991",Dance-pop,"4:32 (album version)
4:13 (7-inch edit)",Virgin,"Paula Abdul, Peter Lord, Sandra St. Victor, V. Jeffrey Smith","Peter Lord, V. Jeffrey Smith"
Psycho (Post Malone song),,"February 23, 2018 (2018-02-23)",Hip hop,"3:41
3:27 (radio edit)",Republic,"Austin Post, Tyrone Griffin, Louis Bell","Post Malone, Louis Bell"
Quarter to Three,,May 1961,"R&B, Rock & Roll",2:31,Legrand Records,"Gene Barge, Frank J. Guida, Joseph F. Royster, Gary Anderson",Frank J. Guida
Rag Doll (The Four Seasons song),,June 1964,"Pop rock, doo-wop, R&B",2:54,Philips Records,"Bob Crewe, Bob Gaudio",Bob Crewe
Rain on Me (Lady Gaga and Ariana Grande song),,"May 22, 2020 (2020-05-22)","House, dance-pop, disco",3:02,Interscope,"Lady Gaga, BloodPop, Ariana Grande, Matthew Burns, Nija Charles, Rami Yacoub, Martin Bresso, Alexander Ridha","BloodPop, Burns"
Raindrops Keep Fallin' on My Head,,October 1969,"Pop, soft rock",3:02,Scepter,"Burt Bacharach, Hal David","Burt Bacharach, Hal David"
Raise Your Glass,,"October 5, 2010",Pop rock,3:23,LaFace,"Alecia Moore, Max Martin, Johan Schuster","Max Martin, Shellback"
Rapstar,,"April 9, 2021",Trap,2:45,Columbia,"Taurus Bartlett, Einer Bankz, Alexander Wu","Einer Bankz, Synco"
Rapture (Blondie song),,"January 12, 1981","New wave, hip hop, pop, post-disco, rap rock",6:31,Chrysalis,"Debbie Harry, Chris Stein",Mike Chapman
Reach Out I'll Be There,,"August 18, 1966 (1966-08-18)",Soul,3:01,Motown,"Holland–Dozier–Holland, [, 2, ]","Brian Holland, Lamont Dozier, [, 2, ]"
Reason to Believe,,July 1971,,4:10,Mercury,Tim Hardin,Rod Stewart
Red Red Wine,,1967 (1967),"Soft rock, folk rock",2:42,Bang,Neil Diamond,"Jeff Barry, Ellie Greenwich"
The Reflex,,16 April 1984 (1984-04-16),"Dance-pop, synth-pop, new wave, funk","5:29 (album version)
4:25 (single version)",", EMI, 
, Capitol,","Simon Le Bon, John Taylor, Roger Taylor, Andy Taylor, Nick Rhodes","Duran Duran, Alex Sadkin, Ian Little"
Release Me (Wilson Phillips song),,June 1990,"Pop, easy listening","4:56 (album version)
3:50 (single edit)",SBK,Wilson Phillips,Glen Ballard
Respect (song),,1965,Soul,2:05,Volt,Otis Redding,Steve Cropper
Reunited (song),,March 1979 (1979-03),"R&B, soft rock, disco, smooth soul",5:46,Polydor,"Dino Fekaris, Freddie Perren",Freddie Perren
Rhinestone Cowboy,,"May 26, 1975","Country, symphonic pop",3:15,Capitol,"Larry Weiss, [, 2, ]","Dennis Lambert, Brian Potter"
Rich Girl (Hall & Oates song),,January 1977 (1977-01),"Rock, Philadelphia soul, blue-eyed soul, pop",2:23,RCA Victor,Daryl Hall,Christopher Bond
Rich Men North of Richmond,,"August 8, 2023 (2023-08-08)",Country,3:07,Self-released,Oliver Anthony,Oliver Anthony
Ridin',,"November 12, 2005",Hip hop,5:024:08 (radio edit),"Universal, Chamillitary","Hakeem Seriki, Juan Salinas & Oscar Salinas, Anthony Henderson",Play-N-Skillz
Right Here Waiting,,"June 29, 1989 (1989-06-29)",Soft rock,"4:06 (UK 45 Version)
4:28 (Album/Single Version)",EMI,"Richard Marx, Bruce Gaitsch","Richard Marx, David Cole"
Right Round,,"January 27, 2009","Pop-rap, EDM, electropop",3:27,"Poe Boy, Atlantic","Flo Rida, Dr. Luke, Kool Kojak, DJ Frank E, Philip Lawrence, Bruno Mars, Aaron Bay-Schuck, Pete Burns, Steve Coy, Wayne Hussey, Tim Lever, Mike Percy","Dr. Luke, Kool Kojak"
Ring My Bell,,1979,"Disco, dance","4:28 (album)3:30 (7"" single)8:11 (12"")","Juana Records,",Frederick Knight,Frederick Knight
Ringo (song),,October 1964,Country,3:14,RCA Victor,"Don Robertson, Hal Blair",
Rise (instrumental),,"July 20, 1979","Jazz-funk, disco",7:40 (album version)3:50 (single version),A&M,"Andy Armer, Randy Alpert","Herb Alpert, Randy Alpert"
Roar (song),,"August 10, 2013 (2013-08-10)",Power pop,3:43,Capitol,"Katy Perry, Lukasz Gottwald, Max Martin, Bonnie McKee, Henry Walter","Dr. Luke, Max Martin, Cirkut"
Rock Me Amadeus,,May 1985,"Neue Deutsche Welle, synth-pop, dance-pop, hip hop",3:22,A&M,"Falco, Rob Bolland, Ferdi Bolland",Bolland & Bolland
Rock Me Gently (Andy Kim song),,"June 22, 1974","Pop rock, proto-disco",3:24,Capitol Records,Andy Kim,Andy Kim
Rock On (David Essex song),,August 1973,"Glam rock, rockabilly, dub, avant-pop",3:24,Columbia,David Essex,Jeff Wayne
Rock the Boat (The Hues Corporation song),,May 1974,"Disco, soul, R&B","3:22 (album version)
3:06 (single version)",RCA Records,Wally Holmes,John Florez
Rock with You,,October 1979,"Disco, funk, pop","3:38 (album version)
3:20 (single/video version)",Epic,Rod Temperton,Quincy Jones
Rock Your Baby,,May 1974,Disco,"3:14 (7"" version)
6:24 (album version)",", TK, 
, Jay Boy,  , [, 4, ],","Harry Wayne Casey, Richard Finch","Harry Wayne Casey, Richard Finch"
Rock'n Me,,"August 1976 (US)
October 1976 (UK)","Pop rock, rock",3:05,Capitol,Steve Miller,Steve Miller
Rockin' Around the Christmas Tree,,"November 24, 1958 (US),December 1962 (UK)","Rockabilly, Christmas",2:02,"Decca,  9-30776",Johnny Marks,Owen Bradley
Rockstar (DaBaby song),,"April 17, 2020","Hip hop, trap",3:01,", Interscope, 
, SCMG,","Jonathan Kirk, Rodrick Moore Jr., Ross Portaro IV",SethInTheKitchen
Rockstar (Post Malone song),,"September 15, 2017",Trap,"3:38 (album version)
3:12 (radio edit)",Republic,"Austin Post, Shayaa Abraham-Joseph, Louis Bell, Olufunmibi Awoshiley, Carl Rosen, Jo-Vaughn Scott","Tank God, Louis Bell"
Roll with It (Steve Winwood song),,May 1988,"Funk, R&B",4:30 (single/video edit)5:20 (album version),Virgin,"Steve Winwood, Will Jennings, Holland-Dozier-Holland","Steve Winwood, Tom Lord-Alge"
Rolling in the Deep,,29 November 2010 (2010-11-29),"Rhythm and blues, soul",3:48,"XL, Columbia","Adele Adkins, Paul Epworth",Paul Epworth
Romantic (song),,"August 23, 1991","Dance-pop, new jack swing",4:07,Warner Bros.,"Jimmy Jam and Terry Lewis, Karyn White",Jimmy Jam and Terry Lewis
Roses Are Red (My Love),,"April 6, 1962",Traditional pop,2:38,Epic,"Paul Evans, Al Byron",Robert Morgan
Royals (song),,3 June 2013 (2013-06-03),"Art pop, electropop, alternative pop",3:10,Universal,"Ella Yelich-O'Connor, Joel Little",Joel Little
Ruby Tuesday (song),,13 January 1967,"Baroque pop, psychedelic pop, psychedelic soul",3:12,", Decca,  , 
, London,  ,",Jagger–Richards,Andrew Loog Oldham
Rude (song),,"October 11, 2013 (2013-10-11)",Reggae fusion,3:44,"Latium, RCA, Sony","Nasri Atweh, Adam Messinger, Mark Pellizzer, Ben Spivak, Alex Tanas",Adam Messinger
Rude Boy (Rihanna song),,"February 5, 2010 (2010-02-05)","Reggae, dancehall, electro, -, R&B",3:43,", Def Jam, 
, SRP,","Robyn Fenty, Mikkel S. Eriksen, Tor Erik Hermansen, Ester Dean, Makeba Riddick, Rob Swire","Stargate, Travis George"
Run It!,,"June 30, 2005 (2005-06-30)",,3:50,Jive,"Scott Storch, Sean Garrett, LaRon James",Storch
Runaround Sue,,September 1961,"Rock and roll, doo wop, pop",2:41,Laurie,"Dion DiMucci, Ernie Maresca",Gene Schwartz
Runaway (Del Shannon song),,"February 18, 1961 (1961-02-18)",Rock and Roll,2:20,BigTop,"Del Shannon, Max Crook",Harry Balk
Running Bear,,August 1959,"Rockabilly, rock and roll",2:38,"Mercury, [, 4, ]","J. P. Richardson, [, 4, ]","Bill Hall, [, 4, ]"
Running Scared (Roy Orbison song),,March 1961,"Orchestral pop, rock",2:10,"Monument,  438","""Running Scared"":, Roy Orbison, Joe Melson, ""Love Hurts"":, Boudleaux Bryant",Fred Foster
Rush Rush (Paula Abdul song),,"April 24, 1991 (1991-04-24)","Pop, R&B",4:56,Virgin,Peter Lord,Peter Lord & Vernon Jeffrey Smith
Sad Eyes (Robert John song),,April 1979,"Soft rock, doo-wop",4:12 (Album Version)3:30 (Single Edit),EMI America,Robert John,"George Tobin, in association with, Mike Piccirillo"
Sad!,,"March 2, 2018","Emo rap, pop rap, alternative R&B",2:46,"Bad Vibes Forever, Caroline","Jahseh Onfroy, John Cunningham",John Cunningham
Sailing (Christopher Cross song),,"May 27, 1980 (Charted June 14)","Soft rock, yacht rock",4:14,Warner Bros.,Christopher Cross,Michael Omartian
St. Elmo's Fire (Man in Motion),,13 June 1985,"Rock, pop rock",4:08,Atlantic,"David Foster, John Parr",David Foster
S&M (song),,"January 23, 2011 (2011-01-23)","Eurodance, hi-NRG",4:03,"Def Jam, SRP","Mikkel S. Eriksen, Tor Erik Hermansen, Sandy Wilhelm, Ester Dean, Britney Spears, (remix only), Laurence Tolhurst, (uncredited), Robert Smith, (uncredited)","Stargate, Sandy Vee"
Sara (Starship song),,December 1985,"Pop rock, soft rock",4:52 (album version)4:18 (edited version),"Grunt, RCA",,"Peter Wolf, Jeremy Smith"
Satisfied (Richard Marx song),,April 1989,"Rock, pop rock","4:12 (album version)
3:58 (single version)",EMI USA,Richard Marx,"Richard Marx, David Cole"
Saturday Night (Bay City Rollers song),,29 June 1973 (UK)August 1975 (US),"Bubblegum, power pop",2:56,Arista,"Bill Martin, Phil Coulter","Bill Martin, Phil Coulter"
Savage (Megan Thee Stallion song),,"April 7, 2020",Hip hop,2:36,", 1501 Certified, 
, 300,","Megan Pete, Anthony White, Bobby Session Jr.",J. White Did It
Savage Love (Laxed – Siren Beat),,24 April 2020,"Siren jam, dancehall, reggaeton",2:51,Columbia,"Joshua Nanai, Jason Desrouleaux, Jacob Kasher Hindlin, Phil Greiss",Jawsh 685
Save the Best for Last,,"January 14, 1992 (1992-01-14)","Pop, •, Soul, •, R&B",3:40,"Wing, Mercury","Phil Galdston, Wendy Waldman, Jon Lind",Keith Thomas
Save the Last Dance for Me,,August 1960,"Pop, soul",2:34,Atlantic,"Doc Pomus, Mort Shuman",Jerry Leiber and Mike Stoller
Save Your Tears,,"August 9, 2020 (2020-08-09)",Synth-pop,3:36,", XO, 
, Republic,","Abel Tesfaye, Ahmad Balshe, Jason Quenneville, Max Martin, Oscar Holter","Max Martin, Oscar Holter, The Weeknd"
Saving All My Love for You,,"August 13, 1985","R&B, soul, quiet storm",3:58,Arista,"Michael Masser, Gerry Goffin",Michael Masser
Say It Right,,31 October 2006 (2006-10-31),R&B,3:43,", Geffen, 
, Mosley,","Nelly Furtado, Timbaland, Nate Hills","Timbaland, Danja"
Say My Name,,"October 14, 1999 (1999-10-14)","R&B, pop",4:31 (album version)4:00 (radio/video edit),Columbia,"Rodney Jerkins, Fred Jerkins III, LaShawn Daniels, Beyoncé Knowles, LeToya Luckett, Kelly Rowland, LaTavia Roberson",Rodney Jerkins
Say Say Say,,3 October 1983 (1983-10-03),"Post-disco, synth-funk, funk, -, pop, rock","3:55 5:40 (remix by John ""Jellybean"" Benitez)",", Parlophone,  , 
, Columbia,  ,","Paul McCartney, Michael Jackson",George Martin
Say So,,"January 17, 2020","Pop, disco, pop rap",3:58 (original version)3:26 (Nicki Minaj remix),", Kemosabe, 
, RCA,","Amala Dlamini, Lukasz Gottwald, Lydia Asrat, Jamie Parker, Onika Maraj-Petty, (remix)",Tyson Trax
"Say You, Say Me",,"October 29, 1985",Pop,4:03,Motown,"Lionel Richie, [, 2, ]","Lionel Richie, James Anthony Carmichael"
The Scotts,,"April 24, 2020",,2:45,", Epic, 
, Cactus Jack, 
, Wicked Awesome,","Jacques Webster II, Scott Mescudi, David Biral, Denzel Baptiste, Oladipo Omishore, Patrick Reynolds, Mike Dean","Take a Daytrip, Dot da Genius, Plain Pat"
Seasons Change (song),,November 1987,"Synth-pop, R&B, freestyle","3:58 (single version)
4:55 (album version)",Arista,Lewis Martineé,Lewis Martineé
Seasons in the Sun,,1961,Chanson,3:06,Philips,Jacques Brel,
See You Again,,"March 10, 2015","Hip hop, pop rap",3:50[1],Atlantic,"Cameron Thomaz, Charlie Puth, Justin Franks, Andrew Cedar","Charlie Puth, DJ Frank E, Andrew Cedar"
Señorita (Shawn Mendes and Camila Cabello song),,"June 21, 2019 (2019-06-21)",Latin pop,3:11,", Island,",,"Andrew Watt, Benny Blanco, Cashmere Cat"
Separate Lives,,September 1985 (US)11 November 1985 (UK),Soft rock,4:06,", Atlantic, 
, Virgin, 
, WEA,",Stephen Bishop,"Arif Mardin, Hugh Padgham, Phil Collins"
Set Adrift on Memory Bliss,,"August 5, 1991 (1991-08-05)","Hip hop, psychedelic pop, dance, -, rap",4:10,", Gee Street, 
, Island,","Gary Kemp, Attrell Cordes",P.M. Dawn
Set Fire to the Rain,,4 July 2011,"Pop, power pop, pop-soul",4:02,"XL, Columbia","Adele Adkins, Fraser T. Smith",Fraser T. Smith
Seven (Jungkook song),,"July 14, 2023","UK garage, pop",3:05,Big Hit,"Andrew Watt, Cirkut, Jon Bellion, Latto, Theron Makiel Thomas","Watt, Cirkut"
Sexy and I Know It,,"September 16, 2011 (2011-09-16)","Dance, rave-pop, electro house","5:21 (extended version)
3:19 (radio edit)",Interscope,"Stefan Kendal Gordy, David Jamahl Listenbee, Erin Beck, George M. Robertson, Kenneth Oliver","Audiobot, Redfoo, GoonRock"
SexyBack,,"July 18, 2006 (2006-07-18)","Electro-R&B, hip hop, disco",4:02,"Jive, Zomba","Justin Timberlake, Tim Mosley, Nate ""Danja"" Hills","Timbaland, Justin Timberlake, Nate ""Danja"" Hills"
Shadow Dancing (song),,April 1978,Disco,4:33 (album Version)  3:57 (single version)  6:07 (special disco version),RSO Records,"Barry, Robin & Maurice Gibb, ;, Andy Gibb",Gibb-Galuten-Richardson
Shake It Off,,"August 19, 2014 (2014-08-19)",Dance-pop,3:39,Big Machine,,"Max Martin, Shellback"
Shake Ya Tailfeather,,"June 29, 2003",Hip hop,4:53,"Bad Boy, Universal","Cornell Haynes, Tohri Harper, Sean Combs, Varick Smith, Basement Beats, Adonis Shropshire","Nelly, & Jayson ""Koko"" Bridges"
Shake You Down,,August 1986,"R&B, smooth soul",4:05,Columbia,Gregory Abbott,Gregory Abbott
"(Shake, Shake, Shake) Shake Your Booty",,1976,Disco,3:07,TK Records,"Harry Wayne Casey, Richard Finch","Harry Wayne Casey, Richard Finch"
Shakedown (Bob Seger song),,"May 4, 1987","Hard rock, dance-rock",4:03,MCA,"Harold Faltermeyer, Keith Forsey, Bob Seger","Harold Faltermeyer, Keith Forsey"
Shallow (Lady Gaga and Bradley Cooper song),,"September 27, 2018 (2018-09-27)","Rock, folk-pop, country",3:37,Interscope,"Lady Gaga, Andrew Wyatt, Anthony Rossomando, Mark Ronson","Lady Gaga, Benjamin Rice"
Shape of You,,6 January 2017 (2017-01-06),"Pop, dancehall, tropical house",3:54[1],", Asylum, 
, Atlantic,","Ed Sheeran, Johnny McDaid, Kandi Burruss, Kevin Briggs, Steve Mac, Tameka Cottle","Ed Sheeran, Steve Mac"
She Ain't Worth It,,"May 8, 1990 (1990-05-08)",New jack swing,3:38,MCA,"Antonina Armato, Bobby Brown, Ian Prince","Denny Diante, Ian Prince"
She Drives Me Crazy,,26 December 1988,"Dance-rock, funk, soul, pop","3:38 (LP version)
3:48 (single remix)",London Records,"Roland Gift, David Steele","David Z, Fine Young Cannibals"
